title,director,genre,release date
Parasite,Bong Joon-ho,,2019-10-05
The Lobster,Yorgos Lanthimos,,2016-05-13
Ex Machina,Alex Garland,,2015-04-10
20th Century Women,Mike Mills,,2016-12-28
Some Kind of Heaven,Lance Oppenheim,,2021-01-08
Snowpiercer,Bong Joon-ho,,2013-07-29
I'm Thinking of Ending Things,Charlie Kaufman,,2020-09-04
The Two Popes,Fernando Meirelles,,2019-11-27
Lady Bird,Greta Gerwig,,2018-02-15
Honey Boy,Alma Har'el,,2019-11-08
Inside Llewyn Davis,"Ethan Coen, Joel Coen",,2013-12-06
The Life Aquatic with Steve Zisou,Wes Anderson,,2004-12-25
Uncut Gems,"Josh Safdie, Benny Safdie",,2019-12-25
The Royal Tenenbaums,Wes Anderson,,2001-12-14
Lost In Translation,Sofia Coppola,,2003-09-09
I Don't Feel at Home in This World Anymore,Macon Blair,,2017-02-24
Stranger Than Fiction,Marc Forster,,2006-10-10
Okja,Bong Joon-ho,,2017-05-19
Dunkirk,Christopher Nolan,,2017-07-21
The Squid and the Whale,Noah Baumbach,,2005-10-05
The Perks of Being a Wallflower,Stephen Chbosky,,2012-09-21
Midsommar,Ari Aster,,2019-07-03
Frances Ha,Noah Baumbach,,2013-05-07
Eighth Grade,Bo Burnham,,2018-07-13
The Killing of a Sacred Deer,Yorgos Lanthimos,,2017-10-20
The Gentlemen,Guy Ritchie,,2020-01-24
Borat Subsequent Moviefilm,Jason Woliner,,2020-10-23
Wildlife,Paul Dano,,2018-10-19
VHYes,Jack Henry Robbins,,2019-09-21
The Meyerowitz Stories,Noah Baumbach,,2017-10-13
A Serious Man,"Ethan Coen, Joel Coen",,2009-10-02
The Florida Project,Sean Baker,,2017-10-05
Palm Springs,Max Barbakow,,2020-07-10
"Hail, Caesar!","Ethan Coen, Joel Coen",,2016-02-01
Holidate,John Whitesell,,2020-10-28
Gone Fishin,Christopher Cain,,1997-05-30
Brief Encounter,David Lean,,
"Harlan County, USA",Barbara Kopple,,
One Night in Miami,Regina King,,
Ponyo,Hayao Miyazaki,,
The Quiet Man,John Ford,,
Idiocracy,Mike Judge,,
Detour,Edgar G. Ulmer,,
Downhill Racer,Michael Ritchie,,
You Cannot Kill David Arquette,"David Darg, Price James",,
First Blood,Ted Kotcheff,,
The Lady from Shanghai,Orson Welles,,
Marty,Delbert Mann,,
The Little Things,John Lee Hancock,,
The Man Who Would Be King,John Huston,,
"Paris, Texas",Wim Wenders,,
The Two Jakes,Jack Nicholson,,
Get Him to the Greek,,Comedy,
U-571,,Thriller,
Ted,,Comedy,
Nocturnal Animals,,Drama,
The Judge,,Drama,
National Treasure,,Adventure,
The Rum Diary,,Drama,
Sweeney Todd,,Drama,
The Platform,,Horror,
Velvet Buzzsaw,,Horror,
Regression,,Horror,
537 Votes,,Documentary ,
Diamonds Are Forever,,Action,
13 Cameras,,Horror,
Charlie Bartlet,,Comedy,
The Flowers of War,,Action,
Catch Me If You Can,,Adventure,
HP & The Deathly Hallows P2,,Adventure,
Ocean's Eleven,,Action,
Friday the 13th,,Horror,
POC - On Stranger Tides,,Adventure,
The Pianist,,Drama,
Blade Runner 2049,,Action,
Apocalypse Now,,Action,
Come and Find Me,,Thriller,
The Swamp,,Documentary ,
Ready or Not,,Horror,
Knives Out,,Comedy,
Prince Caspian,,Adventure,
Kill Them Softly,,Action,
The Perfect Weapon,,Documentary ,
HP & The Chamber of Secrets,,Adventure ,
1BR,,Horror,
The Railway Man,,Drama,
Enemy of State,,Thriller,
The Coldest Game,,Thriller,
Papillon,,Drama,
Live and Let Die,,Action,
Hitch,,Drama,
The Interview,,Comedy,
House at the End of the Street,,Horror,
Never Say Never Again,,Action,
Ocean's Thirteen,,Action,
Ad Astra,,Adventure,
Mean Dreams,,Thriller,
Don't Breathe,,Horror,
Mississippi Grind,,Drama,
For Your Eyes Only,,Action,
Secret Obsession,,Thriller,
Forgetting Sarah Marshall,,Comedy,
Hail! Caesar,,Comedy,
The Neighbor,,Thriller,
Prisoners,,Thriller,
Cold Mountain,,Drama,
Sleepy Hollow,,Crime,
Code 8,,Action,
Octopussy,,Action,
"The Lion, Witch, and the Wardrobe",,Adventure,
Michael Clayton,,Thriller,
Newsies,,Drama,
Midnight Special,,Thriller,
American Hangman,,Thriller,
In Bruges,,Thriller,
The Man with the Golden Gun,,Action,
Delirium,,Thriller,
Twilight,,Drama,
Thunderball,,Action,
And The Band Played On,,Drama,
Mars Inside SpaceX,,Documentary ,
The Spy Who Loved Me,,Action,
Blade Runner,,Action,
Moonraker,,Action,
War Dogs,,Crime,
The Strangers,,Horror,
Senna,,Documentary,
Hostiles,,Drama,
POC - Dead Man's Chest,,Adventure,
POC - At World's End,,Adventure,
Frailty,,Mystery,
Fatal Affair,,Horror,
HP & The Half-Blood Prince,,Adventure,
The Master,,Drama,
Black Sea,,Action,
Can’t Hardly Wait,,Comedy,
Red Tails,,Action,
HP & The Deathly Hallows P1,,Adventure,
Castaway,,Adventure,
Luck of the Irish,,Family,
What Keeps You Alive,,Horror,
Despicable Me,,Family,
POC - Curse of the Black Pearl,,Adventure,
Shazam!,,Action,
An Affair to Die for,,Thriller,
Dream House,,Thriller,
Donnie Darko,,Thriller,
Storks,,Adventure,
Good Boys,,Comedy,
The Recruit,,Thriller,
71,,Action,
HP & The Sorcerer's Stone,,Adventure,
Tropic Thunder,,Comedy,
One Flew Over the Cookoo's Nest,,Drama,
HP & The Goblet of Fire,,Adventure ,
Superbad,,Comedy,
Gerald's Game,,Horror,
1922,,Drama,
Green Room,,Horror,
From Russia with Love,,Action,
Fantastic Mr. Fox,,Adventure,
The Open House,,Horror,
Going Clear: Scientology and the Prison of Belief,,Documentary ,
The Watcher,,Thriller,
The Devil All the Time,,Thriller,
Search Party,,Comedy,
Joker,,Crime,
Inglorious Bastards,,Action,
The Gift,,Thriller,
The Nut Job,,Family,
National Treasure 2,,Adventure,
Blue Ruin,,Drama,
Sinister,,Horror,
Double Teamed,,Family,
The Da Vinci Code,,Adventure,
Dr. No,,Action,
Serenity,,Thriller,
Goodfellas,,Crime,
Jurassic Park (1993),,Adventure,
The Ritual,,Horror,
The Town,,Action,
Goldfinger,,Action,
"Tinker, Tailor, Soldier, Spy",,Thriller,
The Place Beyond the Pines,,Drama,
The Other Guys,,Comedy,
Ocean's Twelve,,Action,
Cloudy With A Chance of Meatballs 2,,Family,
On Her Majesty’s Secret Service,,Action,
Broken Vows,,Thriller,
Cheaper by the Dozen,,Family,
Agents of Chaos,,Documentary ,
Gangs of New York,,Action,
Rushmore,,Comedy,
Long Gone Summer,,Documentary,
Inside Man,,Thriller,
Avatar,,Action,
Den of Thieves,,Thriller,
Cloudy With A Chance of Meatballs,,Family,
HP & The Order of the Phoenix,,Adventure,
Artemis Fowl,,Action,
Murder in the First,,Drama,
Red,,Action,
The Big Short,,Crime,
The Frozen Ground,,Thriller,
Our House,,Horror,
The Thin Red Line,,Drama,
Basic Instinct,,Thriller,
Requiem for a Dream,,Drama,
The Accountant,,Action,
Smart House,,Family,
HP & The Prisoner of Azkaban,,Adventure ,
Accepted,,Comedy,
You Only Live Twice,,Action,
Seven Psychopaths,,Crime,
Memento,,Mystery,
American Psycho,,Psychological,
